# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Sets the strength of the dirt processor.;设置污渍处理器的强度。
Inverts the dirt processor.;反转污渍处理器。
Sets the global contrast of the dirt processor.;设置污渍处理器的全局对比度。
Click to load or replace a texture map for the grunge effect.;单击以加载或替换做旧效果的纹理贴图。
Enable tri-planar mode for seamless texture projection.;启用三平面模式以实现无缝纹理投影。
Sets how the grunge map is blended in relation to the other components of the dirt processor.;设置做旧贴图相对于污渍处理器其他组件的混合方式。
Sets the strength for the grunge texture.;设置做旧纹理的强度。
Inverts the grunge texture.;反转做旧纹理。
Sets the contrast of the grunge texture.;设置做旧纹理的对比度。
Sets the tiling for the grunge texture.;设置做旧纹理的平铺。
Sets the rotation for the grunge texture.;设置做旧纹理的旋转。
Sets the strength of the direction effect, which isolates regions facing up and down.;设置方向效果的强度，该效果隔离朝上和朝下的区域。
Inverts the direction effect.;反转方向效果。
Sets the contrast of the direction effect.;设置方向效果的对比度。
Sets the strength of the crevices or concave areas, which is useful for defining where dirt or grime should appear on the micro scale.;设置裂缝或凹区域的强度，有助于在微观尺度上确定污垢或污渍应出现的位置。
Sets the contrast of the crevice effect.;设置裂缝效果的对比度。
Sets the strength of the occluded areas, which is useful for defining where dirt or grime should appear on the macro scale.;设置遮蔽区域的强度，有助于在宏观尺度上确定污垢或污渍应出现的位置。
Sets the contrast of the occluded areas.;设置遮蔽区域的对比度。
Evenly spaces all gradient points.;均匀分布所有渐变点。
Resets the original layer settings.;重置原始图层设置。
Deletes the selected color from the gradient.;从渐变中删除选定的颜色。
Deletes the selected grayscale value from the alpha gradient.;从 alpha 渐变中删除选定的灰度值。
Sets the strength of the gradient procedural.;设置渐变程序化效果的强度。
Inverts the gradient procedural.;反转渐变程序化效果。
Sets the tiling for the gradient.;设置渐变的平铺。
Sets the strength of the height processor.;设置高度处理器的强度。
Inverts the height processor.;反转高度处理器。
Sets the contrast of the height processor.;设置高度处理器的对比度。
Shifts the hue around the color wheel.;绕色轮移动色调。
Sets how vivid or saturated the colors are.;设置颜色的鲜艳或饱和程度。
Sets the brightness.;设置亮度。
Sets the contrast.;设置对比度。
Resets the original settings for this channel.;重置此通道的原始设置。
Resets the original settings for all channels in this layer.;重置此图层中所有通道的原始设置。
Choose the recolorization mode.;选择重新着色模式。
Determines the amount of target colors;确定目标颜色的数量。
Detect how many target colors are necessary.;检测需要多少种目标颜色。
Reset all of the target colors to their original values.;将所有目标颜色重置为原始值。
Reset the original settings for this layer.;重置此图层的原始设置。
Toggles the visibility of recolorization for the current target color.;切换当前目标颜色重新着色的可见性。
Sets the color target.;设置颜色目标。
Sets the custom color, which determines the area that will be recolored.;设置自定义颜色，以确定将重新着色的区域。
Reset this color to its original state.;将此颜色重置为原始状态。
Invert the value of the target color.;反转目标颜色的值。
Sets the strength of the recolorization effect.;设置重新着色效果的强度。
Add a custom color.;添加自定义颜色。
Remove this custom color.;移除此自定义颜色。
Move this color up or down.;向上或向下移动此颜色。
The source colors are not up-to-date, you must update them.;源颜色不是最新的，必须更新它们。
The source colors are up-to-date.;源颜色是最新的。
Source color (automatically generated).;源颜色（自动生成）。
You must update your source colors.;你必须更新你的源颜色。
Adjusts brightness value of the black region.;调整黑色区域的亮度值。
Adjusts the gamma curve.;调整伽马曲线。
Adjusts the brightness value of the white region.;调整白色区域的亮度值。
Remaps or clamps the black region to a specified value.;将黑色区域重新映射或钳制到指定值。
Remaps or clamps the white region to a specified value..;将白色区域重新映射或钳制到指定值。
Sets the active color channel shown in the editor.;设置编辑器中显示的活动颜色通道。
Resets the original settings for all channels.;重置所有通道的原始设置。
Sets the strength of the occlusion processor.;设置遮蔽处理器的强度。
Inverts the occlusion processor.;反转遮蔽处理器。
Sets the contrast for the occlusion processor.;设置遮蔽处理器的对比度。
Sets the strength of the Perlin noise procedural.;设置柏林噪声程序化效果的强度。
Inverts the Perlin procedural;反转柏林程序化效果。
Sets the detail size of the Perlin procedural.;设置柏林程序化效果的细节大小。
Sets the intensity of the large details.;设置大细节的强度。
Sets the intensity of the fine details.;设置精细细节的强度。
Sets the amount of distortion for the large details.;设置大细节的扭曲量。
Sets the detail level for the large distortions.;设置大扭曲的细节级别。
Sets the amount of distortion for the fine details.;设置精细细节的扭曲量。
Sets the detail level for the fine distortions.;设置精细扭曲的细节级别。
Determines whether to create a soft (smooth) or pixelated (hard) effect.;确定是创建柔和（平滑）还是像素化（生硬）效果。
Sets how many times the effect will be generated and overlaid. More passes will mean finer details but lower performance.;设置效果生成和叠加的次数。更多的遍数意味着更精细的细节，但性能更低。
Sets the strength of the scratch processor.;设置划痕处理器的强度。
Inverts scratch dirt processor.;反转划痕污渍处理器。
